borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
3961,China Tower Corp Ltd,,China,Communication Services,China Tower Corp Ltd,,,
3962,Zhengbang International Ltd,,China,Consumer Staples,Jiangxi Zhengbang Technology Co Ltd,,,
3963,Diqishi State-owned Asset Operation (Group) Co Ltd,,China,Utilities,Diqishi State-owned Asset Operation (Group) Co Ltd,,,
3964,Zhengzhou Zhongrui Industrial Group Co Ltd,,China,Materials,Zhengzhou Zhongrui Industrial Group Co Ltd,,,
3965,Huajin Securities Co Ltd,,China,Financials,Zhuhai Huafa Group Co Ltd,,,
3966,Taixing Zhiguang Environmental Protection Technology Co Ltd,,China,Industrials,Taixing Zhiguang Environmental Protection Technology Co Ltd,,,
3967,Fuzhou State-owned Assets Investment & Development Group Co Ltd,,China,Utilities,Fuzhou State-owned Assets Investment & Development Group Co Ltd,,,
3968,Tibet Industrial Material Group Co Ltd,,China,Industrials,Tibet Industrial Material Group Co Ltd,,,
3969,SPCG pcl,,Thailand,Utilities,SPCG pcl,,,
3970,TPC Power Holding pcl,,Thailand,Utilities,TPC Power Holding pcl,,,
3971,Triple T Broadband pcl,,Thailand,Communication Services,Advanced Info Service pcl,,,
3972,Panther Ventures Ltd,,Hong Kong,Real Estate,CK Hutchison Holdings Ltd,,,
3973,ICPF Finance Pty Ltd,,Australia,Real Estate,Investa Property Group Ltd,,,
3974,Sinar Mas Paper (China) Investment Co Ltd,,China,Materials,Widjaja Family Master Trust (2),,,
3975,Shanghai Environment Group Co Ltd,,China,Utilities,Shanghai Environment Group Co Ltd,,,
3976,Gamuda Land (T12) Sdn Bhd,,Malaysia,Real Estate,Gamuda Bhd,,,
3977,Minmetals Land Holding Co Ltd,,China,Real Estate,China Minmetals Corp,,,
3978,Guangzhou Industrial Investment Fund Management Co Ltd,,China,Financials,Guangzhou City Construction Investment Group Co Ltd,,,
3979,Takeda Pharmaceutical Co Ltd,,Japan,Health Care,Takeda Pharmaceutical Co Ltd,,,
3980,Panasonic Corp,,Japan,Consumer Discretionary,Panasonic Holdings Corp,,,
3981,Eastern Creation II Investment Holdings Ltd,,China,Industrials,Beijing Infrastructure Investment Co Ltd,,,
3982,Zhuji Development Ltd,,China,Industrials,Zhuji State-owned Assets Operation Co Ltd,,,
3983,Dongfeng Motor (Hong Kong) International Co Ltd,,China,Consumer Discretionary,Dongfeng Motor Corp,,,
3984,Eiken Chemical Co Ltd,,Japan,Health Care,Eiken Chemical Co Ltd,,,
3985,Yiwu Urban Investment Construction Group Co Ltd,,China,Industrials,Yiwu State-owned Capital Operation Co Ltd,,,
3986,Nanyang Technological University,,Singapore,Industrials,Nanyang Technological University,,,
3987,Mah Sing Group Bhd,,Malaysia,Real Estate,Mah Sing Group Bhd,,,
3988,BMW Automotive Finance (China) Co Ltd,,China,Financials,BMW,,,
3989,Xinao Holding Investment Co Ltd,,China,Industrials,Langfang Natural Gas Co Ltd,,,
3990,Yingtan State-owned Holding Group Co Ltd,,China,Industrials,Yingtan State-owned Holding Group Co Ltd,,,
3991,Advance Residence Investment Corp,,Japan,Real Estate,Itochu Corp,,,
3992,Hualu International Finance (BVI) Ltd,,China,Health Care,Hualu Holdings Co Ltd,,,
3993,IOI Investment (L) Bhd,,Malaysia,Materials,IOI Corp Bhd,,,
3994,TechnoPro Holdings Inc,,Japan,Industrials,TechnoPro Holdings Inc,,,
3995,Driver Australia seven Trust,,Australia,Consumer Discretionary,Porsche Automobil Holding SE,,,
3996,Frontier Real Estate Investment Corp,,Japan,Real Estate,Mitsui Fudosan Co Ltd,,,
3997,Hainan Development Holdings Co Ltd,,China,Industrials,Hainan Development Holdings Co Ltd,,,
3998,Daio Paper Corp,,Japan,Materials,Daio Paper Corp,,,
3999,Hitachi Zosen Corp,,Japan,Industrials,Hitachi Zosen Corp,,,
4000,GPT Funds Management Ltd,,Australia,Real Estate,GPT Group,,,
4001,Mapletree Logistics Trust,,Singapore,Real Estate,Temasek Holdings (Pte) Ltd,,,
4002,Xi Yang Overseas Ltd,,China,Real Estate,Nanjing Yangzi State-owned Investment Group Co Ltd,,,
4003,Shaanxi Xixian New Area Fengxi New City Development & Construction (Group) Co Ltd,,China,Real Estate,Shaanxi Xixian New Area Fengxi New City Development & Construction (Group) Co Ltd,,,
4004,Zhongnan Engineering Corp Ltd,,China,Industrials,Power Construction Corp of China,,,
4005,Jilin Province Water Industry Investment Group Co Ltd,,China,Utilities,Jilin Province Water Industry Investment Group Co Ltd,,,
4006,Guangzhou State-owned Capital Operation Holding Co Ltd,,China,Utilities,Guangzhou Industrial Investment & Capital Operation Holding Group Ltd,,,
4007,Yangzhou Yantze River Investment Development Group Co Ltd,,China,Consumer Discretionary,Yangzhou Yantze River Investment Development Group Co Ltd,,,
4008,Yancheng City Construction Investment Group Co Ltd,,China,Industrials,Yancheng Urban Asset & Investment Management Group Co Ltd,,,
4009,Guangzhou Water Supply Co,,China,Utilities,Guangzhou Water Investment Group Co Ltd,,,
4010,Beijing Shunxin Agriculture Co Ltd,,China,Consumer Staples,Beijing Shunxin Agriculture Co Ltd,,,
4011,APPF Commercial Finance Pty Ltd,,Australia,Real Estate,Lend Lease Group,,,
4012,VNET Group Inc,,China,Consumer Discretionary,VNET Group Inc,,,
4013,Taoyuan County City Construction Investment Development Co Ltd,,China,Industrials,Taoyuan County City Construction Investment Development Co Ltd,,,
4014,Jiangmen Binjiang Construction Investment Co Ltd,,China,Industrials,Jiangmen Binjiang Construction Investment Co Ltd,,,
4015,SPIC Preferred Company No 1 Ltd,,China,Utilities,State Power Investment Corp Ltd,,,
4016,Dangshan County Construction Investment Co Ltd,,China,Industrials,Dangshan County Construction Investment Co Ltd,,,
4017,Yangxin Urban Construction Investment Development Co Ltd,,China,Industrials,Yangxin Urban Construction Investment Development Co Ltd,,,
4018,Longgang State-owned Development Co Ltd,,China,Industrials,Longgang State-owned Development Co Ltd,,,
4019,CITIC Corp Ltd,,China,noinfo,CITIC Group Corp,,,
4020,Nanjing Zijin Asset Management Co Ltd,,China,Financials,Nanjing State-owned Assets Investment Management Holdings (Group) Co Ltd,,,
4021,Bangkok Mass Transit System pcl,,Thailand,Industrials,BTS Group Holdings pcl,,,
4022,PTT Exploration & Production International Ltd,,Thailand,Energy,PTT,,,
4023,CNCBINV 1 (BVI) Ltd,,Hong Kong,Financials,CITIC Group Corp,,,
4024,ICTSI Treasury BV,,Philippines,Industrials,International Container Terminal Services Inc,,,
4025,Anhui Luan New Town Construction Investment Co Ltd,,China,Industrials,Luan City Construction Investment Co Ltd,,,
4026,Chongqing Liangshan Construction Investment Co Ltd,,China,Industrials,Chongqing Liangshan Construction Investment Co Ltd,,,
4027,Shenzhen SDG Information Co Ltd,,China,Communication Services,Shenzhen SDG Information Co Ltd,,,
4028,XCMG Construction Machinery Co Ltd,,China,Industrials,XCMG Construction Machinery Co Ltd,,,
4029,Beijing New Building Materials plc,,China,Industrials,China National Building Material Group Co Ltd,,,
4030,Oriental Energy Co Ltd,,China,Energy,Oriental Energy Co Ltd,,,
4031,Guangxi Jingui Pulp & Paper Co Ltd,,China,Materials,Widjaja Family Master Trust (2),,,
4032,Aeon Co (M) Bhd,,Malaysia,Consumer Discretionary,Aeon Co Ltd,,,
4033,GAIF Bond Issuer Pty Ltd,,Australia,Real Estate,Goodman Group,,,
4034,Shangyu Urban Construction Hong Kong Co Ltd,,China,Real Estate,Shaoxing Shangyu Urban Construction Group Co Ltd,,,
4035,Yancoal International Resources Development Co Ltd,,China,Materials,Shandong Energy Group Co Ltd,,,
4036,D&L Industries Inc,,Philippines,Materials,Jadel Holdings Co Inc,,,
4037,Petron Corp,,Philippines,Energy,San Miguel Corp,,,
4038,Okuma Corp,,Japan,Industrials,Okuma Holdings Co Ltd,,,
4039,Cromwell European Real Estate Investment Trust,,Singapore,Real Estate,Cromwell Property Group,,,
4040,Port of Tauranga Ltd,,New Zealand,Industrials,Quayside Holdings Ltd,,,
4041,China Construction First Building (Group) Corp Ltd,,China,Industrials,China State Construction Engineering Corp,,,
4042,Beijing Cuiwei Tower Co Ltd,,China,Consumer Discretionary,Beijing Cuiwei Tower Co Ltd,,,
4043,Huadian Fuxin Energy Development Co Ltd,,China,Utilities,China Huadian Corp Ltd,,,
4044,Melbourne Airport,,Australia,Industrials,Australia Pacific Airports Corp Ltd,,,
