borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
2538,Shenzhen Zhenye (Group) Co Ltd,,China,Industrials,Shenzhen Zhenye (Group) Co Ltd,,,
2539,Xinjiang New Energy (Group) Co Ltd,,China,Utilities,Xinjiang New Energy (Group) Co Ltd,,,
2540,Galaxy Industrial (Shenzhen) Co Ltd,,China,Real Estate,Galaxy Industrial (Shenzhen) Co Ltd,,,
2541,Shaoxing High Technology Industrial Development Zone Didang New Town Investment Development Co Ltd,,China,Industrials,Shaoxing High Technology Industrial Development Zone Didang New Town Investment Development Co Ltd,,,
2542,Qingdao Shibei City Construction Investment Co Ltd,,China,Industrials,Qingdao Shibei City Construction Investment Co Ltd,,,
2543,Continuum Green Energy Ltd,,India,Utilities,Morgan Stanley,,,
2544,Fujifilm Holdings Corp,,Japan,Consumer Discretionary,Fujifilm Holdings Corp,,,
2545,Shengzhou Communications Investment & Development Group Co Ltd,,China,Industrials,Shengzhou Communications Investment & Development Group Co Ltd,,,
2546,China Highway Engineering Consultants Corp,,China,Industrials,China Communications Construction Group Co Ltd,,,
2547,Wasu Digital Television Media Group Co Ltd,,China,Communication Services,Wasu Digital Television Media Group Co Ltd,,,
2548,Chinese Academy of Sciences Holdings Co Ltd,,China,Industrials,Chinese Academy of Sciences,,,
2549,Shaanxi Yulin Energy Group Co Ltd,,China,Materials,Shaanxi Yulin Energy Group Co Ltd,,,
2550,Nanjing Hexi New Town State-owned Assets Management Holding (Group) Co Ltd,,China,Industrials,Nanjing Dongnan State-owned Investment Group Co Ltd,,,
2551,Soyea Electronics Group Co Ltd,,China,Consumer Discretionary,Soyea Electronics Group Co Ltd,,,
2552,Guangdong Nanhai Holding Investment Co Ltd,,China,Utilities,Guangdong Nanhai Holding Investment Co Ltd,,,
2553,Malaysia Airports Holdings Bhd,,Malaysia,Industrials,Malaysia Airports Holdings Bhd,,,
2554,Obayashi Corp,,Japan,Industrials,Obayashi Corp,,,
2555,Nantong Chongchuan City Construction Investment Co Ltd,,China,Industrials,Nantong Chongchuan City Construction Investment Co Ltd,,,
2556,Jiande Urban Construction & Development Investment Co Ltd,,China,Industrials,Jiande State-owned Assets Management Co Ltd,,,
2557,Chengdu Chenghua State Owned Assets Operation Investment Co Ltd,,China,Industrials,Chengdu Chenghua State Owned Assets Operation Investment Co Ltd,,,
2558,Chongqing Jiangjin District Riverside Park Development Construction Group Co Ltd,,China,Industrials,Chongqing Jiangjin District Riverside Park Development Construction Group Co Ltd,,,
2559,Ruian State-asset Investment Group Co Ltd,,China,Real Estate,Ruian State-asset Investment Group Co Ltd,,,
2560,Guangdong Nongken Group Co Ltd,,China,Consumer Staples,Guangdong Nongken Group Co Ltd,,,
2561,Guangzhou Environment Protection Investment Group Co Ltd,,China,Utilities,Guangzhou Environment Protection Investment Group Co Ltd,,,
2562,Shenzhen Hepalink Pharmaceutical Group Co Ltd,,China,Health Care,Shenzhen Hepalink Pharmaceutical Group Co Ltd,,,
2563,Jiangxi Wannianqing Cement Co Ltd,,China,Industrials,Jiangxi Cement Co Ltd,,,
2564,Showa Denko Co Ltd,,Japan,Materials,Resonac Holdings Corp,,,
2565,Osaka University,,Japan,Industrials,Osaka University,,,
2566,Singtel Group Treasury Pte Ltd,,Singapore,Communication Services,Temasek Holdings (Pte) Ltd,,,
2567,Xiangyu Investment (BVI) Co Ltd,,China,Industrials,Huaian Development Holdings Co Ltd,,,
2568,Xi'an Chanba River Development Co Ltd,,China,Industrials,Xi'an Chanba River Development Co Ltd,,,
2569,Lanxi Transportation Construction Investment Group Co Ltd,,China,Industrials,Lanxi Transportation Construction Investment Group Co Ltd,,,
2570,Straits Trading Co Ltd,,Singapore,Materials,Tecity Pte Ltd,,,
2571,ST Engineering Urban Solutions USA Inc,,Singapore,Industrials,Temasek Holdings (Pte) Ltd,,,
2572,Keppel Infrastructure Fund Management Pte Ltd,,Singapore,Financials,Keppel Ltd,,,
2573,Nakamichi Leasing-Leasing Receivables ABS 202203,,Japan,Financials,Nakamichi Co Ltd,,,
2574,SB Handset Installment Sales Receivables Securitization 2022-03 Special Gold Series,,Japan,Communication Services,SoftBank Group Corp,,,
2575,Mobile telephone terminal Credit Trust Series 2022-3,,Japan,Communication Services,Mobile telephone terminal Credit Trust Series 2022-3,,,
2576,Handset Installment Sales Receivables Securitization 2022-3,,Japan,Communication Services,Handset Installment Sales Receivables Securitization 2022-3,,,
2577,Chongqing Nan'an Urban Construction & Development (Group) Co Ltd,,China,Industrials,Chongqing Nan'an Urban Construction & Development (Group) Co Ltd,,,
2578,Yangzhou Yuanbo Investment Development Co Ltd,,China,Industrials,Yangzhou Yuanbo Investment Development Co Ltd,,,
2579,Precinct Properties New Zealand Ltd,,New Zealand,Real Estate,Precinct Properties New Zealand Ltd,,,
2580,Ecology Trust Bond Ga 4th Series Fund,,Japan,Utilities,Ecology Trust Bond Ga 4th Series Fund,,,
2581,Jay Mart pcl,,Thailand,Consumer Discretionary,Jay Mart pcl,,,
2582,Sub Sri Thai pcl,,Thailand,Industrials,Sub Sri Thai pcl,,,
2583,Ziga Innovation pcl,,Thailand,Materials,Ziga Innovation pcl,,,
2584,San Miguel Corp,,Philippines,Energy,San Miguel Corp,,,
2585,Aboitiz Power Corp,,Philippines,Utilities,Aboitiz Equity Ventures Inc,,,
2586,Converge ICT,,Philippines,Communication Services,Converge ICT,,,
2587,Pruksa Holding pcl,,Thailand,Real Estate,Pruksa Holding pcl,,,
2588,Changsha Jinxia New District City Development Co Ltd,,China,Real Estate,Changsha Jinxia New District City Development Co Ltd,,,
2589,Christchurch International Airport Ltd,,New Zealand,Industrials,Christchurch City Council,,,
2590,Daiwa House REIT Investment Corp,,Japan,Real Estate,Daiwa House Industry Co Ltd,,,
2591,BEC World pcl,,Thailand,Communication Services,BEC World pcl,,,
2592,LPN Development pcl,,Thailand,Real Estate,LPN Development pcl,,,
2593,National Power Supply plc,,Thailand,Utilities,National Power Supply plc,,,
2594,Stark Corp pcl,,Thailand,Materials,Stark Corp pcl,,,
2595,China Eastern Airlines Corp Ltd,,China,Industrials,China Eastern Air Holding Co Ltd,,,
2596,CCCC Dredging (Group) Co Ltd,,China,Industrials,China Communications Construction Group Co Ltd,,,
2597,China Urban-Rural Holdings Group Co Ltd,,China,Industrials,China Communications Construction Group Co Ltd,,,
2598,Foshan Zhongce Highway Investment Co Ltd,,China,Industrials,Foshan Zhongce Highway Investment Co Ltd,,,
2599,Chengdu Financial City Investment & Development Co Ltd,,China,Real Estate,Chengdu Jiaozi Financial Holding Group Co Ltd,,,
2600,Xinjiang Production & Construction Group State-owned Assets Management & Operation Co Ltd,,China,Energy,Xinjiang Production & Construction Group State-owned Assets Management & Operation Co Ltd,,,
2601,Lingyun Industrial Corp Ltd,,China,Consumer Discretionary,Lingyun Industrial Corp Ltd,,,
2602,Beijing North Star Co Ltd,,China,Real Estate,Beijing North Star Co Ltd,,,
2603,Tianjin Beichen Technology Park Management Co Ltd,,China,Real Estate,Tianjin Beichen Technology Park Management Co Ltd,,,
2604,China Resources Land Holdings Co Ltd,,China,Real Estate,China Resources Co Ltd,,,
2605,Jilin State-Owned Capital Management Co Ltd,,China,Consumer Discretionary,Jilin State-Owned Capital Management Co Ltd,,,
2606,Guangzhou Industrial Investment Holdings Group Co Ltd,,China,Materials,Guangzhou Industrial Investment Holdings Group Co Ltd,,,
2607,Huaihua Communication Construction Investment Co Ltd,,China,Industrials,Huaihua Communication Construction Investment Co Ltd,,,
2608,Kunming Iron & Steel Holding Co Ltd,,China,Materials,Kunming Iron & Steel Holding Co Ltd,,,
2609,Hangzhou Daily Press Group Co Ltd,,China,Communication Services,Hangzhou Daily Press Group Co Ltd,,,
2610,Shanghai International Port (Group) Co Ltd,,China,Industrials,Shanghai International Port (Group) Co Ltd,,,
2611,Zhejiang Tourism & Investment Group Co Ltd,,China,Industrials,Zhejiang Tourism & Investment Group Co Ltd,,,
2612,Wenling State-owned Assets Investment Group Co Ltd,,China,Consumer Discretionary,Wenling State-owned Assets Investment Group Co Ltd,,,
2613,Wenzhou Transportation Group Corp,,China,Industrials,Wenzhou Transportation Group Corp,,,
2614,Anhui Wanbei Coal Electricity Group Co Ltd,,China,Materials,Anhui Wanbei Coal Electricity Group Co Ltd,,,
2615,Yancheng Yandu District State-owned Assets Investment Management Co Ltd,,China,Real Estate,Yancheng Yandu District State-owned Assets Investment Management Co Ltd,,,
2616,Sichuan Jianyang Development Holding Co Ltd,,China,Real Estate,Sichuan Jianyang Development Holding Co Ltd,,,
2617,Bengbu New Investment Group Co Ltd,,China,Real Estate,Bengbu New Investment Group Co Ltd,,,
2618,Hangzhou Xihu Cultural Tourism Investment Group Co Ltd,,China,Consumer Discretionary,Hangzhou Xihu Investment Group Co Ltd,,,
2619,Tongxiang Golden Phoenix Service Development Group Co Ltd,,China,Consumer Staples,Tongxiang Golden Phoenix Service Development Group Co Ltd,,,
2620,Qingdao Publishing Group Co Ltd,,China,Communication Services,Qingdao Publishing Group Co Ltd,,,
2621,Jingjiang Beichen Urban & Rural Construction Investment Co Ltd,,China,Industrials,Jingjiang Beichen Urban & Rural Construction Investment Co Ltd,,,
